count, date
5560823,2019-10-28 14:41:56
5560878,2019-10-28 14:42:05
5560895,2019-10-28 14:42:16
5560915,2019-10-28 14:42:26
5560931,2019-10-28 14:42:36
5560987,2019-10-28 14:42:46
5560999,2019-10-28 14:42:56
5561067,2019-10-28 14:43:06
5561067,2019-10-28 14:43:15
5561098,2019-10-28 14:43:25
5561198,2019-10-28 14:43:35
5561218,2019-10-28 14:43:46
5561269,2019-10-28 14:43:56
5561534,2019-10-28 14:44:06
5561559,2019-10-28 14:44:16
5561559,2019-10-28 14:44:25
5561608,2019-10-28 14:44:35
5561681,2019-10-28 14:44:45
5561781,2019-10-28 14:44:55
5562027,2019-10-28 14:45:05
5562048,2019-10-28 14:45:16
5562048,2019-10-28 14:45:25
5562058,2019-10-28 14:45:35
5562083,2019-10-28 14:45:46
5562083,2019-10-28 14:45:55
5562773,2019-10-28 14:46:05
5562773,2019-10-28 14:46:16
5562899,2019-10-28 14:46:25
5562944,2019-10-28 14:46:35
5563001,2019-10-28 14:46:46
5563001,2019-10-28 14:46:55
5563067,2019-10-28 14:47:06
5563067,2019-10-28 14:47:15
5563099,2019-10-28 14:47:25
5563165,2019-10-28 14:47:35
5563311,2019-10-28 14:47:46
5563311,2019-10-28 14:47:55
5563428,2019-10-28 14:48:05
5563434,2019-10-28 14:48:16
5563434,2019-10-28 14:48:25
5563459,2019-10-28 14:48:35
5563485,2019-10-28 14:48:45
5563524,2019-10-28 14:48:55
5563598,2019-10-28 14:49:06
5563598,2019-10-28 14:49:15
5563796,2019-10-28 14:49:26
5563796,2019-10-28 14:49:35
5563898,2019-10-28 14:49:46
5563925,2019-10-28 14:49:56
